2,1,256.00,54.00,19.00,9.00,0.43,-1,-1,-1
3,1,258.00,54.00,19.00,9.00,0.37,-1,-1,-1
4,1,257.00,54.00,19.00,9.00,0.16,-1,-1,-1
32,10,292.00,64.00,20.00,9.00,0.49,-1,-1,-1
33,10,291.00,64.00,20.00,9.00,0.50,-1,-1,-1
36,10,292.00,64.00,19.00,9.00,0.37,-1,-1,-1
42,10,291.00,64.00,20.00,9.00,0.38,-1,-1,-1
43,10,291.00,64.00,20.00,9.00,0.40,-1,-1,-1
44,10,291.00,64.00,20.00,9.00,0.44,-1,-1,-1
45,10,290.00,64.00,21.00,9.00,0.40,-1,-1,-1
71,10,283.00,63.00,26.00,10.00,0.51,-1,-1,-1
316,36,292.00,63.00,21.00,10.00,0.37,-1,-1,-1
317,36,293.00,63.00,20.00,10.00,0.38,-1,-1,-1
365,42,280.00,62.00,32.00,12.00,0.22,-1,-1,-1
473,65,140.00,53.00,28.00,13.00,0.22,-1,-1,-1
474,65,143.00,55.00,27.00,12.00,0.10,-1,-1,-1
475,65,148.00,57.00,25.00,11.00,0.12,-1,-1,-1
494,74,247.00,46.00,20.00,14.00,0.15,-1,-1,-1
530,92,203.00,55.00,16.00,12.00,0.14,-1,-1,-1
533,92,202.00,54.00,15.00,12.00,0.46,-1,-1,-1
583,116,156.00,56.00,18.00,13.00,0.50,-1,-1,-1
631,124,96.00,65.00,17.00,14.00,0.25,-1,-1,-1
632,124,97.00,65.00,17.00,14.00,0.12,-1,-1,-1
644,122,291.00,63.00,19.00,10.00,0.47,-1,-1,-1
650,127,117.00,61.00,22.00,19.00,0.49,-1,-1,-1
651,127,117.00,60.00,22.00,20.00,0.49,-1,-1,-1
652,127,117.00,60.00,22.00,20.00,0.51,-1,-1,-1
653,127,120.00,61.00,20.00,19.00,0.45,-1,-1,-1
654,127,121.00,61.00,19.00,19.00,0.46,-1,-1,-1
655,127,123.00,62.00,19.00,17.00,0.11,-1,-1,-1
656,127,124.00,61.00,19.00,18.00,0.61,-1,-1,-1
657,127,124.00,62.00,18.00,17.00,0.43,-1,-1,-1
